title,description
Senior Python developer (with DevOps experience),"Job brief:We are seeking a Back end Software Engineer to execute the full lifecycle of the product development, by programming well-designed, efficient, and testable code that meets specifications.Responsibilities:🔹﻿Building and designing a robust REST API.🔹Implementing a service-oriented architecture on the cloud.🔹﻿Maintaining high availability at scale.Modeling our SQL and NoSQL schemas.🔹﻿Developing integrations with many 3rd party services.🔹﻿Working both as a team and with our DevOps and Frontend developers.﻿﻿Requirements:🔸﻿5+ years in Python back-end development.🔸Experience as a DevOps🔸﻿Strong technological skills and ability to simplify complex problems.🔸﻿Excellent verbal and written communication skills.🔸﻿Proficiency in backend development, ideally with Django, and FastAPI.🔸﻿Prior experience in building and maintaining a large-scale SaaS product."
Senior Python Developer,"Job brief:We are seeking a Back end Software Engineer to execute the full lifecycle of the product development, by programming well-designed, efficient, and testable code that meets specifications.Responsibilities:🔹﻿Building and designing a robust REST API.🔹Implementing a service-oriented architecture on the cloud.🔹﻿Maintaining high availability at scale.Modeling our SQL and NoSQL schemas.🔹﻿Developing integrations with many 3rd party services.🔹﻿Working both as a team and with our DevOps and Frontend developers.﻿﻿Requirements:🔸﻿5+ years in Python back-end development.🔸﻿Strong technological skills and ability to simplify complex problems.🔸﻿Excellent verbal and written communication skills.🔸﻿Proficiency in backend development, ideally with Django, and FastAPI.🔸﻿Prior experience in building and maintaining a large-scale SaaS product."
Senior Python Developer-a на ізраїльський фінтех проєкт,"Вітаю ✋ Я Роксолана з 𝐂𝐢𝐤𝐥𝐮𝐦.Хочу запропонувати Вам роль Senior Python Developer-a на ізраїльський фінтех проєкт Thetaray - https://www.thetaray.com/. Наш клієнт займається big data аналітикою для запобігання порушення сек`юрності даних та допомагає боротися з відмиванням грошей. Ціль: зменшити кількість  злочинів та банківських махінацій.🌟Переваги співпраці: remote, медичне страхування, курси англійської, внутрішній розвиток всередині компанії.Tech Stack: Python, SQL, Kubernetes ⚡Більше деталей тут: https://jobs.ciklum.com/jobs/senior-python-developer-230004hd/Підкажіть, чи актуально? Залюбки розповім більше! 😊"
Mid Python (Django) Developer,"We are looking for Python (Django) dev who could help our customers with the project - web app, the first and only citizen science initiative that tracks auroras around the world via reports on customer's website and social media.The task is to take an outdated webapp and fix a few issues and bugs, maintain the site, then other larger backend upgrades using standardized open source libraries.Terms and conditions:involvement: 8-16 hours/week.period: 4-6 monthsbudget constraint - 13$/hYour profile:2+ years of experience with Django and Python (excellent knowledge)advanced spoken English level (at least strong b2)Being a part of 3asoft means having:- High level of flexibility and freedom- p2p relationship with worldwide customers- Competitive compensation paid in USD- Fully remote working"
Python Back-end Developer /Candidates from Ukraine     JobTestPrep,"On behalf of JobTestPrep, SD Solutions is looking for a brilliant Python Back-end Developer to join its technical department.SD Solutions is a staffing company operating globally. Contact us to get more details about the benefits we offer.What stack is for this position?Python, .Net technologies, React, SQL, NoSQL, DynamoDB, MongoDB, PostgreSQL, AWS Lambda Functions (Serverless Framework)Responsibilities:Design, develop, and maintain backend systems using Python (and .NET technologies)Develop ATS\HRES solutions from scratchCollaborate with cross-functional teams to gather requirements, design, and develop featuresWrite clean, maintainable, and well-documented codeEnsure scalability, reliability, and performance of backend systemsTroubleshoot and debug issues and provide timely resolutionsParticipate in project planning and estimationContinuously learn and improve your skills and knowledgeStay up-to-date with the latest trends and best practices in backend developmentContribute to the improvement of our development processes and methodologies.Requirements:Bachelor's degree in Computer Science, Software Engineering or related fieldMinimum of 4 years of experience in backend development using PythonStrong understanding of software development principles and best practicesExperience with databases, such as SQL and NoSQLExperience with RESTful APIs, JSON, and web services integrationFamiliarity with containerization technologies such as Docker and KubernetesExperience with AWS cloud platformsExperience with Git or other version control systemKnowledge of UI/UX design principlesExperience with test-driven development (TDD/BDD) and continuous integration/continuous delivery (CI/CD)Proven production experience to implement Microservices Architecture and patterns.Familiarity with agile development methodologiesGood knowledge in Event Driven Design and Domain Driven DesignExperience in .NET technologies/ C# - is a big advantageExperience with frontend development technologies such as React preferably (or Angular/Vue JS) - a big advantageAbout the company:JobTestPrep is an online platform that provides preparation materials and resources for job seekers who are preparing for pre-employment tests and assessments.The platform offers a wide range of practice materials and personalized study plans that are tailored to meet the specific needs of each individual job seeker."
Django Developer (Middle),"About the projectEuropean SaaS that helps to manage waste collection in the cities. Consists of web and mobile applications, as well as IoT part. The CTO manages a small Agile team of 10+ employees (back-end, front-end engineers, QA).This position supposes that you have the following knowledge and competencies:1. Software development experience(3+ years) with:- Python and Django;- GrapheneDB;- Celery- Unit testing.2. Knowledge of REST and experience working with REST APIs3. Communication skills in English (good writing and speaking)4. It would be nice to have experience with FastAPINote that a big part of the team is in GMT+2, so it is important to be available during their business hours.You will deal with and be responsible for:1. Develop, support, and maintain the back-end of web and mobile apps.2. Take care of quality (code, test, business features, documentation) - everyone enjoys working with clean, readable code, so it is important to keep it such.3. Participate in code reviews - usually, it is cross-reviews in the team or reviews by a senior person.4. Communicate with internal and external teams - we’re in touch with great minds - inventive clients, and supportive colleagues!What PLANEKS offers:0. Fast and comfortable hiring process.1. 100% remote(even before the COVID) work opportunity and flexitime - choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!"
DAAS Support ENG,"Currently, we are looking for a DAAS Support ENG.The ideal candidate will provide a combination of both a high level of business and technical support to help resolve complex customer problems, be able to work independently, and have a passion for delivering an excellent customer experience.Our partner is an Israel company Fornova that provides advanced analytics for their customers’ products. The team of the project at the moment is 50+ people.We empower the industry to optimize distribution, generate demand, and maximize revenueBI solutions market leader with the most comprehensive global data set in travel & hospitality. Fornova is looking for a  DAAS Support ENGMust-have skills:Communication in both spoken and written English - Advanced.Python - Intermediate.Customer Delight - Advanced.Knowledge of HTML/CSS - Basic.NoSQL / SQL knowledge - Basic.Troubleshooting skills -  Advanced.Creative thinking.Responsibilities:Taking full ownership of providing enterprise customers' support on different tier levels from general explanations, settings, configurations, feature requests, advanced level of debugging and fixing technical issues, etc. (Tickets resolving on Zendesk).Proactively managing and communicating end-to-end support-related items. (internal escalations, ongoing status updates, weekly reports, etc.)Lead cross-team efforts to resolve outstanding issues.Strong collaboration with R&D, CS, and Product departments.Establishing knowledge base and working process (QA daily, NOC monitoring enhancements, etc.)."
Full Stack Engineer,"Who we are:Glorium Technologies is an outsourcing company with an HQ in NJ and development centers in Ukraine, Poland, Cyprus. We were founded in 2010 and have already expanded our team to over 180 sharp-minded people. The majority of our projects are within Healthcare and Real Estate domains.Does this relate to you?• A passion for and affinity with the project’s mission to transform healthcare for every trans life• 2+ years of backend experience: Python/Go, GraphQL, event architecture, Cloud PaaS, Docker• 2+ years of Front End: React/React Native• Ability to take a ticket delivered by product, create an implementation plan that is effectively communicated with the rest of their team, and provide an accurate estimate for how long it will take to complete• A collaborative team spirit• Advanced experience creating mitigation plans, deployment, logging & monitoring, ability to respond quickly to high-priority tickets• Familiarity with backend development technologies to assist with our current and future integration needs• Knowledge of complex scripting, debugging, data analysis, problem analysis, and resolution of issues• Agile methodology expertise• Ability to work till 12:00 MST (21:00 Kyiv time), and attend relevant meetings during that time.Nice to have:• 2+ years of Mobile App Development: Flutter, React, React Native, etc.• DevOps: Terraform and Kubernetes• Experience with Deno, WebSockets, and fully static deployments• A Cyber Security background• Experience building integration components between various APIs• GitHub repo of your workAbout the project:This is a trans healthcare project which offers gender-affirming services for 1 million transgender individuals in 45 states.A new team member will be in charge of:• Supporting application development needs, primarily with our platform integration work• Expertise in backend development to assist with current and future needs around integrations as we move to v4+ of our platform• Working with the team in designing the architecture around our mobile app atop the APIs of our platform components• Working closely with Product Management to ensure the framework meets the requirements defined by customer feedback, product vision, and company direction• Independently resolving blockers by reaching out to appropriate team stakeholdersWhat we offer:• Medical insurance and gym membership to choose• Fully paid English classes with an in-house English teacher• 25 paid days off per year in total• Regular performance reviews• Training and IT certification• Special occasion bonuses (birthday, marriage, childbirth)• Flexible schedule of cooperation with work-from-home or office optionsReady to try your hand? Send your CV without a doubt!"
Strong Middle/Senior Python Engineer,"About the projectEuropean SaaS that helps to manage waste collection in the cities. Consists of web and mobile applications, as well as IoT part. The CTO manages a small Agile team of 10+ employees (back-end, front-end engineers, QA).This position supposes that you have the following knowledge and competencies:1. Software development experience(3+ years) with:- Python and Django;- GrapheneDB;- Celery- Unit testing.2. Knowledge of REST and experience working with REST APIs3. Communication skills in English (good writing and speaking)4. It would be nice to have experience with FastAPINote that a big part of the team is in GMT+2, so it is important to be available during their business hours.You will deal with and be responsible for:1. Develop, support, and maintain the back-end of web and mobile apps.2. Take care of quality (code, test, business features, documentation) - everyone enjoys working with clean, readable code, so it is important to keep it such.3. Participate in code reviews - usually, it is cross-reviews in the team or reviews by a senior person.4. Communicate with internal and external teams - we’re in touch with great minds - inventive clients, and supportive colleagues!What PLANEKS offers:0. Fast and comfortable hiring process.1. 100% remote(even before the COVID) work opportunity and flexitime - choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!"
Middle Python Developer,"We're looking for an initiative and experienced Python Engineer to join our team. The position will include building great product in the renewable energy domain. We expect you to work in pairs, use test-driven development and write clean and maintainable code.You will work onThe product specializes in battery energy storage and building the future energy system. The leading data analysis platform provides valuable, unique market insights to help energy companies build, finance, and operate the energy system of the future. Its mission is to transform the energy industry through the transparency of data and accelerate the energy transition by enabling companies to make better data-backed decisions.Our projects' backend is written in Python (Django) and the frontend is written in React.js, Next.js.As a Back-end Developer you have the opportunity to work on interesting and challenging tasks, using a wide variety of instruments and technologies.About the teamYou will be a part of the long-term product team that is responsible for defining features and stories and the way of accomplishing its mission (technical requirements), building new features, and ensuring its quality and performance.As a part of the team, you will be able to collaborate and gather experiences from our Team Leader who has been working on the project for several years and can scrutinize all of the details during the onboarding.Team composition: Solution Architect, 4 Business Analysts, 3 Project Managers, 5 Back-end Developers, 5 Front-end Developers, 5 QA Engineers, Mobile Developer.Your responsibilities:- Create readable and well-structured code, using best code practices, patterns and principles.- Implement features, according to the ticket description.- Cover code with unit-tests.- Cooperate with your team.- Share your expertise in technical discussions, suggest improvements.So, if you want to take part in developing the platform that helps build the future energy system, you need experience with:-3+ years of experience with Python 3, Django- Strong knowledge with DRF- Docker, Docker-Compose- PostgreSQL- Airflow- Celery for asynchronous task queues (with Redis/RabbitMQ/etc)- Sanic- Django Channels- Pandas- Upper-intermediate English levelWhat we offer:- Long team focus: we create an environment of transparent communication, minimal bureaucracy, which leads to long-term relationships.- Development of niche expertise: we are working in several niches, such as, FinTech, healthcare, and logistics.- Continuous learning: we create employee development plans / personal roadmaps /quick promotion process.- Internal career development: 80% of our current executives were promoted to those positions within S-PRO. We encourage initiative. If a person wants to set new challenges and grow, we will definitely support them.Benefits and perks- Flexible schedule: you can start the workday at any time from 8 to 11 in the morning.- Remote work model.- Medical insurance: all our employees who have passed the probationary period are now registered in our health insurance program.- Paid vacations: so, we need to make sure that our employees regularly take vacations and don’t overwork."
Team Lead Python Developer,"Ciklum is looking for a Team Lead Python Developer to join our team full-time in Ukraine.We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide. About the role:As a Team Lead Python Developer, become a part of a cross-functional development team working for the Vast Data. This is a great opportunity to be part of the fast-growing infrastructure company in history. In just a few short years, Vast data has shaken up the industry by challenging traditional architecture models and introducing a revolutionary set of storage possibilities through the Universal Storage platform.The team thrives in an informal and collaborative environment where team members are encouraged to grow beyond the confines of their job description or role.Technology Stack:Python 3.9, their code is running inside a container over a Linux environmentAPI Development, HTTP, RESTDatabases, SQLNetworking, StorageVirtualization, Containerization, DockerGitResponsibilitiesDesign, build and set up development tools and infrastructure for use by the various teams in the R&D organizationAmong the different tools:Test infrastructure used by the QA (the product is a cluster composed of different components and infrastructure encapsulates them, tracking their state, exposing different APIs to communicate with them, etc.)Maintain and develop API and interfaces facing the company storage product + different cloud providersVM orchestrationCollaborate with other teams to improve the productivity of the entire R&D organizationDeal with diverse technologies and domains: Docker, Git, Python, Linux, and  VM orchestrationRequirements7+ years of Python development experience2+ years of experience working on Linux platform, proficient in Linux environment3+ years of experience with team management, at least 3 engineersProven experience in server-side Python programming, featuring: multi-threading, multi-processing, communication protocols, and databasesOOP, SOLIDArchitectural & Design PatternsAlgorithms & Data structuresStrong technical abilities, problem-solving, design, coding, and debugging skillsFluent or Upper-Intermediate EnglishDesirableExperience developing network, storage, server, or virtualization management systemsExperience with Storage and Network ProtocolsAutomated Testing experienceProven experience with CICDWeb application frameworks 4+ years (e.g. Flask, Falcon, AIOHTTP, Tornado)Testing frameworks (e.g. pyTest)ORMs 2+ years (e.g. SQLAlchemy)RDBMS 4+ years (e.g PostgreSQL, MySQL/MariaDB)Docker, KubernetesPersonal skillsHighly motivated and independentStrong problem solver and out-of-the-box thinkerAbility to lead feature development, take full ownership of tasks from A-Z and deliver independently with minimum supervisionStrong communication abilitiesStrong multi-tasking abilitiesWhat's in it for youCare: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultationsTailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certificationsGrowth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globallyFlexibility: choose how you want to work – a 100% remote or on-sight in our offices. Own your schedule – you are the one to decide when to start your working day. Just dont miss your regular team stand-upOpportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfil your potentialGlobal impact: work on large-scale projects that redefine industries with international and fast-growing clientsWelcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events"
Database Developer,"Datawiz шукає у свою команду в головний офіс м. Чернівці Database Developer.Ним можеш стати саме ти ;)Обов’язки:— Налаштовувати завантаження даних від бази клієнта в проміжну базу. Контролювати процес завантаження та виправляти помилки.— Аналіз повільних запитів та розробка їх оптимізації; взаємодіючи з розробниками ПЗ;— Підтримувати та покращувати функціонал ETL-сервісу.— Участь у вирішенні інциндентів;— Підготовка та супровід документації.— Робота із резервними копіями, перевірка їх: цілісності, працездатності;— Проводити технічні онлайн-зустрічі та комунікувати з ІТ-відділом клієнта щодо завантаження даних.— Комунікувати з менеджером супорту по проблемних питаннях та актуальному статусу завантаження даних клієнта.Необхідні навички:— Досвід адміністрування баз даних від 1 року;— Навички роботи в середовищі Linux;— Відмінні знання SQL;— Досвід зі створення резервних копій, відновлення, моделями відновлення;— Досвід написання скриптів для автоматизації (Python/bash);— Розвинені комунікативні навички для роботи у команді;— Хороші навички спілкування письмовою та усною англійською мовою (Upper-intermediate).Буде плюсом:— Знання особливостей PostgreSQL та застосування їх на практиці при роботі;— Досвід роботи з 1С та іншими обліковими системами;— Знання та досвід роботи з Python.Ми пропонуємо:— Роботу в офісі, в центрі м. Чернівці (ремоут не розглядаємо).— Стабільну роботу в компанії, що динамічно розвивається.— Конкурентну заробітну плату (за результатами співбесіди).— Професійний розвиток і кар’єрне зростання.— Корпоративні заходи та спільне проведення часу.— Дружню та доброзичливу атмосферу з відкритою та мотивованою командою однодумців.— Наявність комфортно облаштованого укриття на випадок повітряних тривог.На тебе чекають цікаві та водночас складні задачі. Якщо хочеш стати частиною успішної команди, залишай відгук і ми з тобою зв'яжемось!"
Senior Full Stack Engineer with Python and Golang,"About the projectSeattle Biosoftware is a full-service provider of custom solutions to life science and healthcare organizations. Its goal is to help life scientists to maximize their productivity through high-value software solutions and services.What will you do on this project?— Develop Big Data application’s functional in the bio information domain.— Cover your code with tests, and configure CI/CD.— Communicate with a client.— Generate new ideas on how to improve the product.Knowledge and skills required— 5+ years Full Stack engineering experience in a production environment.— Expert software engineer and developer (Python, Go, JavaScript, React, JSON, etc.)— CI/CD Design & Implementation experience (Docker, Kubernetes).Latest in database design and systems (Graph Stores, MongoDB, PostgreSQL, Cloud DBs.)— Latest in cloud platforms and services (AWS, GCP, Azure).— Upper-Intermediate English level.— Excellent communication skills.We offer— Stable long-term project.— Challenging tasks.— Direct interaction with our clients.— Compensation package: 20 paid days for rest, and 5 paid days for sick leaves.— Flexible schedule."
Python Developer (middle),"We are focused on a specific set of emerging IoT and IoE technologies, including embedded development, backend development, DevOps, Big Data and ML projects, mobile applications' development, software and hardware QA. Our team directly contacts with Amazon, Google and Microsoft development teams. And now we are looking for a Python Developer to join our team in Kyiv. Key responsibilities:- Build, develop and refine our core technologies;- Constantly work on diverse and challenging new functionalities (improve current strategies and find new strategies for integrating with third-party web services, content extraction, proxy management, data clean-up and reporting, task queue workflow and management, ...);- Work in agile environment;- Possibility to work with ElasticSearch, GRPC, Protobuf, AWS, Mongo, JupyterLab, Pandas, Celery, and Flask;- Work in our multi-disciplinary engineering team from diverse backgrounds;- Be involved in BIG Data.Requirements:- More than 2 years experience in programming complex software technologies;- Excellent Python development skills;- High expertise in Flask or Pandas;- Knowledge of NoSQL database document modeling and querying;- Familiarity with front-end technologies (like JavaScript and HTMLS);- Good algorithm and data structure knowledge;- Strong Intermediate level of English (oral and written);- Bachelor degree in Computer Science, Engineering etc. We offer:- Interesting work with cutting edge and innovative technologies;- Foreign customers;- Mixed team of EU and local developers;- Professional development opportunities;- Comfortable and modern office near metro station (KPI, Shulyavska) with convenient transport interchange;- Flexible working hours;- Open and friendly teammates :)"
Python Engineer Team Lead,"JOIDY is seeking Engineering Team Lead and help build great products for global clients in AdTech.Our client is a leading media platform company in location technology, trusted by brands, agencies, small businesses, and non-profits to generate real business results.REQUIREMENTS:— Masterʼs degree/B.Tech OR 8+ years experience in technology— Strong skills in Hadoop, Spark, EMR— The following skills/certifications: Python, SQL, AWS— Detail Oriented— Able to work under strict deadlines and be able to prioritize a heavy workload— A team-player and not afraid to roll up your sleeves and help out when/where neededWHAT WE OFFER:— Unlimited work from home— Flexible schedule— Minimal bureaucracy— Ability to influence company’s processes and project tech stack— PE support and tax coverage— Free English classes— Memorable corporate parties and theme events"
Senior Python Software Engineer,"We're a global IT consulting company and a software development service provider that helps organizations operate at their best. With 30+ years of experience, +6 Global locations, and +1000 employees, TEAM combines technology expertise, valuable insights, business intelligence, and a client-centered approach to address challenges in business operations, digital transformation, risk management, compliance, business continuity, and more.What the role involves?Get ready to take your skills to the next level and be part of an exciting team that's building new products and features from scratch. As a Python/Go Backend Engineer, you'll architect, code, and maintain high-performance microservices for our existing products and create new ones from scratch. You'll gain a high affinity with our complex datasets by crunching large amounts of data on the fly and processing them for use in API implementations.You'll also have the opportunity to take ownership of a piece of our codebase and infrastructure and find ways to improve it, both in terms of performance/efficiency and structure/best practices. And with extensive testing as part of your development process, you'll ensure high-quality deliverables that meet our customers' needs.As a valued member of our product scrum-teams, you'll play a crucial role in creating high-performing and efficient APIs that drive new feature developments and contribute to the success of our company. Join us and be part of a team that's making a real difference in the industry.""Join our team of highly skilled engineers and contribute to the development of high-performance APIs that leverage terabytes of data to provide valuable insights for over 100,000 hotels worldwide.RequirementsMinimum of 5 years of professional experience in a similar role as a Backend Engineer.Expertise in writing code using Python and/or Go, and commercial experience with microservice architectures and any cloud platform, preferably GCP.A passion for optimizing performance and efficiency, particularly in the field of data processing and algorithm design.Ability to challenge the status quo and reimagine overall API design and architecture.Proven experience in dealing with large datasets in a NoSQL environment and a Master's or Bachelor's degree in a STEM field.Fluency in English is essential.Candidates who are also fluent in SQL, have experience working with the Django framework, and are accustomed to working in cross-functional teams to develop and deliver new product features are especially welcome.BenefitsBeing a part of TEAM International gives you the chance to work on challenging projects with great professionals, international clients, and the latest technologies.We have a great benefits package that includes:English lessonsPrivate Health Insurance20+ Vacation daysEducation allowance, etc."
Software Engineer (Python) (G),"We are looking for a Software Engineer (Python) to join our Team.Must have 3+ years of relevant experience.Only candidates are located in Romania.Do not disturb out RU BY.✅ About the project:Our Client is one of the leading providers of a comprehensive program that enables businesses to secure brand value and thrive commercially. They serve over 5000 clients on five continents!The project we are working on is the largest technology transformation for the Client at the moment. It consists of Engineering and Data Science functions, with 180 people globally, aligned to Trademark Solutions or Online Brand Protection Business Units. Brand Protection has large-scale web crawling and workflow web applications (including browser plugins). The platform is tracking millions of product listings each day and a dataset in excess of 150TB.✅ Requirements:- 3+ years of relevant experience;- Python;- Big Data;- Graph Databases such as Neo4j;- Cassandra & other columnar stores, e.g. BigQuery or RedShift;- Relational databases, such as MySQL and PostgreSQL;- Apache Spark, or similar;- Cloud data pipelines, ETL & Data Warehouses, e.g. Airflow;- Data Analytics;- Cloud Hosting with AWS;- Containerized and serverless architectural patterns, K8S/EKS & lambdas;- Non-relational databases such as Redis or MongoDB;- Centralized logging such as DataDog or ELK;- Source Control and CI/CD systems, such as Git;- Engineering Practices, such as TDD and continuous integration;- Jira and Confluence;- Technical documentation, such as coding styles, branching strategies, and functional specifications;- Automated enforcement of policies (e.g. linting, static analysis, stylecop);- Agile development practices and continuous improvement;- Adopter of Open Source and awareness of intellectual property concerns.✅ Responsibilities:- design and deliver back-end components for building and analyzing graphs, including tracking statistics and versioned changes;- increase scale and optimize for cost;- delivery of back-end logic for innovative new features, adapting and evolving to accommodate the needs of the business;- fulfill Continuous Integration, Delivery and Deployment pipelines, Infrastructure as code, and Zero-downtime release processes;- deliver quality code and create full documentation, including flowcharts, layouts, diagrams, charts, code comments, and clear code, for all developed solutions.✅ What we offer:- Exciting Projects: With clients across all industries and sectors, we offer an opportunity to work on market-defining products using the latest technologies.- Collaborative Environment: You can expand your skills by collaborating with a diverse team of highly talented people in an open, laidback environment — or even abroad in one of our global centers or client facilities!- Work-Life Balance: Our company prioritizes work-life balance, which is why we offer flexible work schedules.- Professional Development:We develop paths suited to your individual talents through international knowledge exchanges and professional certification opportunities.- Excellent Benefits: We provide our employees with private medical care, sports facilities cards, group life insurance, travel insurance, relocation package, food subsidies, and cultural activities.- Fun Perks: We want you to feel comfortable in your work, which is why we create good working environment with relax zones, host social and teambuilding activities, and stock our kitchen with delicious teas and coffees!If all mentioned above sounds like an exciting opportunity to challenge yourself - apply now!"
Senior/Lead Python Developer,"The CHI Software team is not standing still. We love our job and give it one hundred percent of us! Every new project is a challenge that we face successfully. The only thing that can stop us is… Wait, it’s nothing! Now the CHI team is looking for a Senior Python Developer!Requirements:- At least 5+ years of expertise in Python;- Experience in complex web-applications development;- Knowledge of general Python web-frameworks: Django, Flask, Fast-API, Aiohttp and other;- Strong understanding of AWS;- Experience with SQL and NoSQL databases and Python ORMs;- Deep understanding of system architecture and design approaches;- Proficiency in application deployment and setup;- Experience with virtualization and Docker tools;- Good understanding of Linux basics;- Strong problem-solving ability;- Knowledge of CI/CD processes;- Understanding of multitrading, multiprocessing, asynchrony;- English level at least Intermediate+.  Will be a plus:- Experience with GCP or Azure;- Strong understanding of Terraform;- Data Collection Technologies – Logstash, Libbeat;- Experience in other languages and technologies (JavaScript, Machine Learning, DevOps etc.);- Proficiency in Elasticsearch querying, storing, and APIs;- High communication skills;- Code review experience. With us you can:Develop your technical knowledge:— Use the latest technologies;— Participate in technical events and conferences (the cost is covered by the company);— Regular techtalks and professional development.Improve your soft skills:— Build strong teamwork skills and become an essential part of the dynamic teams;— Improve your English in classes and speaking directly with clients;— Increase your productivity and communication level via Scrum, Kanban, Agile methodologies.What else do we offer?— Competitive compensation and benefits;— Flexible and negotiable schedule;— Covered rest period (20 business days + 5 days off);— Free English classes;— Truly friendly atmosphere and unforgettable events."
Team Lead Python Developer,"DescriptionCiklum is looking for a Team Lead Python Developer to join our team full-time in Ukraine.We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide.About the role:As a Team Lead Python Developer, become a part of a cross-functional development team working for the Vast Data.This is a great opportunity to be part of the fast-growing infrastructure company in history. In just a few short years, Vast data has shaken up the industry by challenging traditional architecture models and introducing a revolutionary set of storage possibilities through the Universal Storage platform.The team thrives in an informal and collaborative environment where team members are encouraged to grow beyond the confines of their job description or role.Technology Stack:Python 3.9, their code is running inside a container over a Linux environmentAPI Development, HTTP, RESTDatabases, SQLNetworking, StorageVirtualization, Containerization, DockerGitResponsibilitiesDesign, build and set up development tools and infrastructure for use by the various teams in the R&D organizationAmong the different tools:Test infrastructure used by the QA (the product is a cluster composed of different components and infrastructure encapsulates them, tracking their state, exposing different APIs to communicate with them, etc.)Maintain and develop API and interfaces facing the company storage product + different cloud providersVM orchestrationCollaborate with other teams to improve the productivity of the entire R&D organizationDeal with diverse technologies and domains: Docker, Git, Python, Linux, and  VM orchestrationRequirements7+ years of Python development experience2+ years of experience working on Linux platform, proficient in Linux environment3+ years of experience with team management, at least 3 engineersProven experience in server-side Python programming, featuring: multi-threading, multi-processing, communication protocols, and databasesOOP, SOLIDArchitectural & Design PatternsAlgorithms & Data structuresStrong technical abilities, problem-solving, design, coding, and debugging skillsFluent or Upper-Intermediate EnglishDesirableExperience developing network, storage, server, or virtualization management systemsExperience with Storage and Network ProtocolsAutomated Testing experienceProven experience with CICDWeb application frameworks 4+ years (e.g. Flask, Falcon, AIOHTTP, Tornado)Testing frameworks (e.g. pyTest)ORMs 2+ years (e.g. SQLAlchemy)RDBMS 4+ years (e.g PostgreSQL, MySQL/MariaDB)Docker, KubernetesPersonal skillsHighly motivated and independentStrong problem solver and out-of-the-box thinkerAbility to lead feature development, take full ownership of tasks from A-Z and deliver independently with minimum supervisionStrong communication abilitiesStrong multi-tasking abilitiesWhat's in it for youCare: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultationsTailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certificationsGrowth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globallyFlexibility: choose how you want to work – a 100% remote or on-sight in our offices. Own your schedule – you are the one to decide when to start your working day. Just dont miss your regular team stand-upOpportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfil your potentialGlobal impact: work on large-scale projects that redefine industries with international and fast-growing clientsWelcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building eventsAbout us:Discover the pros of 20-year global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes.Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks.Ciklum has been recognised as a veteran-friendly business by the Veteran Hub in Ukraine.We’re committed to creating a welcoming environment for veterans and developing processes that meet their needs. We value the skills and unique perspectives military veterans can bring to our business and are willing to support their transition to civilian life.Be bold, not bored! Interested already? We would love to get to know you! Submit your application. We can’t wait to see you at Ciklum."
